FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil
0.42245458708594114,0.26086823834592204,0.027318651465897473,0.8594470046082949
0.5701877575942604,0.43736934462500954,0.05778123712284236,0.6205786309396649
0.5451534116928713,0.40741588464179446,0.3365841002396105,0.7112186040833766
0.4468020149595482,0.8402227817196918,0.11557773606214612,0.553971984008301
0.4107006563883377,0.00784313725490196,0.8408192543076477,0.586870937223426
0.8598381926423447,0.012909132524605172,0.06190192756741907,0.2890560625019074
0.5321782933903222,0.5660334172579538,0.7710727530790715,0.10251167332987457
0.20402991909632118,0.3570000762951095,0.29127176716572806,0.03718680379650258
0.8331094489390933,0.136919203479057,0.4627077514765807,0.5694296090578936
0.456540986108991,0.35593194476234075,0.24554736504738794,0.13666188543351543
0.3637459929781713,0.17213702601663233,0.25461288402545673,0.17410809656056397
0.9501908105632728,0.754863813229572,0.9347099491781512,0.4956816309091464
0.3400549534422226,0.4992599374380102,0.0583001388825298,0.33410138248847926
0.8798809342085179,0.8144197756923781,0.46557697297132306,0.8305154576250496
0.40541901999694707,0.7233234149691005,0.8420096759916366,0.06399731437116611
0.30737292016486034,0.7795681696803235,0.24258657265387726,0.019409772026734214
0.32495802167608,0.5638818951705196,0.08783175373532957,0.2011627552110355
0.5916043352159976,0.45233844510566873,0.8097614578087085,0.20046082949308755
0.4531521905052664,0.950133516441596,0.5607343986081224,0.7777642139957884
0.5213097237063045,0.4715190356298161,0.642659829372892,0.04315317239906003
0.05676995878491834,0.1940642404821851,0.8706866291225982,0.3871120334482864
0.9976797435506031,0.7710688944838636,0.6078628878409108,0.880977813043611
0.07328652114181042,0.6322117952239261,0.6325565068754483,0.7926267281105991
0.5838650587696536,0.5741512169069962,0.5959434091845611,0.022980437635425885
0.9722790413677302,0.22485694666971848,0.2055766677349938,0.325876644184698
0.7983056021981377,0.923552300297551,0.035895792317201594,0.9546494949186681
0.5667226377652267,0.31287098496986343,0.3588663522732476,0.07087923825800348
0.7072050068691803,0.43822384985122453,0.05897165880683119,0.945936460463271
0.5698366661578386,0.4420996414129854,0.10420768279840667,0.5614185003204444
0.9394138299496261,0.33965056839856567,0.6673229247745067,0.8612323374126407
0.908700961685239,0.24563973449301899,0.47487141919631276,0.15791802728354748
